-175.000000,-151.554446
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
F,43.750000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
B,43.750000
L,60
F,43.750000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
L,60
B,43.750000
R,60
F,87.500000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
F,43.750000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
B,43.750000
L,60
F,43.750000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
L,60
B,43.750000
R,60
B,87.500000
L,60
F,87.500000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
F,43.750000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
B,43.750000
L,60
F,43.750000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
L,60
B,43.750000
R,60
L,60
B,87.500000
R,60
F,175.000000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
F,43.750000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
B,43.750000
L,60
F,43.750000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
L,60
B,43.750000
R,60
F,87.500000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
F,43.750000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
B,43.750000
L,60
F,43.750000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
L,60
B,43.750000
R,60
B,87.500000
L,60
F,87.500000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
F,43.750000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
B,43.750000
L,60
F,43.750000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
B,21.875000
L,60
F,21.875000
R,60
F,21.875000
L,120
F,21.875000
L,120
F,21.875000
L,120
L,60
B,21.875000
R,60
L,60
B,43.750000
R,60
L,60
B,87.500000
R,60
B,175.000000
L,60
