F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
F,5
L,60
F,5
L,60
F,5
L,60
F,5
R,120
F,5
L,60
F,5
R,120
