U,100
R,90
R,-90
R,90
F,50
L,90
F,50
L,90
F,50
R,90
F,50
L,-90
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
F,50
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
L,-90
F,50
R,90
F,50
L,90
F,50
L,90
F,50
R,90
R,-90
F,50
L,90
R,90
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
F,50
L,90
R,90
F,50
L,90
F,50
L,90
F,50
R,90
F,50
R,90
F,50
L,90
F,50
L,90
F,50
R,90
L,90
F,50
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
R,90
F,50
R,90
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
F,50
L,90
R,90
F,50
L,90
F,50
L,90
F,50
R,90
F,50
R,90
F,50
L,90
F,50
L,90
F,50
R,90
L,90
F,50
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
R,90
L,90
F,50
R,-90
R,90
F,50
L,90
F,50
L,90
F,50
R,90
F,50
L,-90
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
F,50
R,-90
F,50
L,-90
F,50
L,-90
F,50
R,-90
L,-90
F,50
R,90
F,50
L,90
F,50
L,90
F,50
R,90
R,-90
R,90
